ell,TT_total_muK2,EE_total_muK2,BB_total_muK2,TE_total_muK2,TT_unlensed_scalar_muK2,EE_unlensed_scalar_muK2,TE_unlensed_scalar_muK2,cl_phiphi,cl_phit_muK,cl_phie_muK
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1144.8302248592029,0.03551104117896836,1.353390107830123e-06,2.7936944469427734,1144.8271370796233,0.03550968778887353,2.7936944699690924,8.298512686243554e-09,0.0014240402123195603,-5.436295741242838e-06
3,534.7582311746492,0.021549299464813022,1.353307209951948e-06,1.5589776043095567,534.7551465570825,0.021547946157668904,1.5589776557145962,2.5208913647951878e-09,0.0004978186959081185,-1.9917751758507162e-06
4,300.6756404102638,0.010532102163904674,1.353197318655795e-06,0.8668746318629631,300.67255999610416,0.010530748966788038,0.8668747207068564,1.044177883523827e-09,0.0002238672360829904,-7.41693474234816e-07
5,190.61473476902597,0.004393567253265932,1.353060978009464e-06,0.4844894468970826,190.61165958893037,0.004392214192762423,0.48448958224202643,5.165436335920433e-10,0.00011693057665433142,-2.496628538389717e-07
6,131.3884006798711,0.0016728557991213516,1.352898872454414e-06,0.27393428843986056,131.38533175116623,0.001671502901212474,0.2739344792263225,2.8677419084367587e-10,6.756312130593053e-05,-5.668218766468898e-08
7,96.23921870705728,0.0006837073480583372,1.352711815857339e-06,0.15883980100656417,96.23615703120493,0.000682354638001197,0.15884005600550222,1.72749816694474e-10,4.2013730881926865e-05,1.1028527275654262e-08
8,73.741604244999,0.00036190512835467887,1.3525007606610687e-06,0.09686300594533033,73.73855080513232,0.00036055263057547046,0.09686333372413357,1.105947227679274e-10,2.7590715972352208e-05,2.659778992485979e-08
9,58.532726509185196,0.00023450402616616018,1.3522667904395626e-06,0.06372064513809662,58.52968226772631,0.0002331517641517199,0.06372105403073743,7.423265387706123e-11,1.88942991160169e-05,2.235080799964919e-08
10,47.772466556337854,0.00015837067830207842,1.3520111213332515e-06,0.04616970071485128,47.769432452707406,0.00015701867449938157,0.04617019879401357,5.173913016651208e-11,1.3389202872639428e-05,1.2939655070968859e-08
11,39.85031416768731,0.00010920531412972079,1.3517350977148904e-06,0.03689068664876401,39.84729111611579,0.00010785358984861934,0.0368912816993122,3.719960149863449e-11,9.77371940087598e-06,4.763535013055329e-09
12,33.89322541781912,8.239428488043673e-05,1.3514401932570373e-06,0.03188265706102248,33.890214305269204,8.104286020618634e-05,0.03188335655462551,2.7436324228227295e-11,7.310545930546002e-06,-1.6574729078707196e-10
13,29.258373938767804,6.952867187357441e-05,1.3511280076239136e-06,0.028906882605270363,29.255375622976587,6.817756558599879e-05,0.02890769367614789,2.0686648045665468e-11,5.589960850339435e-06,-2.170411943589955e-09
14,25.578275841981192,6.276685145479529e-05,1.350800263892771e-06,0.026666658563678818,25.575291149630456,6.141608095612101e-05,0.02666758798549082,1.588910400050752e-11,4.345925494261719e-06,-2.406583793649103e-09
15,22.581945874691534,5.9038103063243554e-05,1.3504588057321568e-06,0.024687683222812312,22.578975599713452,5.7687684315742715e-05,0.024688737386734966,1.240598945529843e-11,3.4302484456484635e-06,-1.873993194606978e-09
16,20.150120143491606,5.822144370072509e-05,1.3501055937596578e-06,0.023050680981912878,20.147165045516672,5.6871391174798416e-05,0.023051865875949585,9.82486611828122e-12,2.740430085845398e-06,-1.1165842638965086e-09
17,18.149808037644902,6.004350065695257e-05,1.3497427021930118e-06,0.021688688511487853,18.146868840598103,5.8693827291466223e-05,0.02169000970106513,7.879111399963381e-12,2.2136685288938754e-06,-4.0821733931923873e-10
18,16.465973220675995,6.400855235884172e-05,1.3493723102523522e-06,0.0205538207811322,16.463050611526448,6.265926953004704e-05,0.02055528339102721,6.3904171218374956e-12,1.8077435806284889e-06,1.065816930653619e-10
19,15.047705911685343,6.93316100387974e-05,1.3489967047710177e-06,0.019658163738151057,15.044800539353824,6.798272755066799e-05,0.019659772435793716,5.235360238835749e-12,1.4912264911732746e-06,3.1729420188896856e-10
20,13.819065124945608,7.516342558951308e-05,1.3486182706477145e-06,0.018861619954148787,13.81617759937363,7.381495167500213e-05,0.018863378934336043,4.327832461294376e-12,1.2414764068805317e-06,2.2223409060454587e-10
21,12.756244949929979,8.125622725873288e-05,1.348239483490977e-06,0.01815312935694166,12.753375841313183,7.99081685958255e-05,0.01815504232799616,3.6070763596506862e-12,1.0420522011647126e-06,-8.320518945518147e-12
22,11.83085429001849,8.766132010754576e-05,1.3478629035347144e-06,0.017480200989520887,11.828004128206299,8.631368185306481e-05,0.017482271160920375,3.0290764057725447e-12,8.81005598804903e-07,-2.328431174162644e-10
23,11.01538177110648,9.413483165299035e-05,1.3474911706611657e-06,0.016845747594473385,11.012551045169147,9.278761749693772e-05,0.016847977665971205,2.561223488842392e-12,7.495910860542295e-07,-3.4909302919015873e-10
24,10.295819179690888,0.00010055589473877618,1.3471269936624153e-06,0.01624629318281262,10.29300833765416,9.920910697509e-05,0.016248685335063406,2.179272428866356e-12,6.413742197496343e-07,-3.241145799291899e-10
