ell,TT_total_muK2,EE_total_muK2,BB_total_muK2,TE_total_muK2,TT_unlensed_scalar_muK2,EE_unlensed_scalar_muK2,TE_unlensed_scalar_muK2,cl_phiphi,cl_phit_muK,cl_phie_muK
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3580.0254803216776,0.023974056541906104,-2.341732812082413e-10,2.0795145824615244,3580.0254658530826,0.023974056776081158,2.0795145825298986,8.365502793303277e-10,0.0009850827985766974,-2.3834934429268695e-06
3,2014.662074408255,0.015904714447229906,-2.3055793324231384e-10,1.3107008898810089,2014.6620600081822,0.015904714677796694,1.3107008900335604,1.6504515701116767e-10,0.0003760227388221968,-5.669093498018637e-07
4,1308.8573604582589,0.01109574602157398,-2.2576635409732433e-10,1.4107308264934164,1308.8573461491396,0.011095746247366796,1.4107308267568663,4.8602117964930315e-11,0.00017687954782371544,-2.9726067470092118e-08
5,927.247249572076,0.009921608959878165,-2.1982308709618932e-10,1.6180367782664682,927.247235375994,0.009921609179762725,1.6180367786674146,1.8062121618109146e-11,9.43476097801485e-05,1.2520976858260033e-07
6,695.2500969659515,0.010573302767150903,-2.1275852976004342e-10,1.7148636653213816,695.2500829045583,0.010573302980031743,1.7148636658859029,7.829314503539136e-12,5.489105662727647e-05,1.517946748374511e-07
7,543.1017862544137,0.011229160549338106,-2.0460876664850449e-10,1.6694233035126635,543.1017723488474,0.011229160754165694,1.669423304266149,3.790545301716314e-12,3.407670040415719e-05,1.3516753106487635e-07
8,437.52956832690006,0.010893613898079664,-1.9541534705386504e-10,1.513227747426522,437.52955459770607,0.010893614093857192,1.5132277483935428,1.994566091086962e-12,2.2239807632027456e-05,1.0687698444608117e-07
9,361.0288491688433,0.009464929341982462,-1.8522504252005262e-10,1.2913160226114642,361.02883563589864,0.009464929527772224,1.2913160238156614,1.1200971456274344e-12,1.5100662112885574e-05,7.890973183566663e-08
10,303.45391109094777,0.007374075897772058,-1.7408958011832276e-10,1.0467629834362602,303.4538977733886,0.007374076072701384,1.04676298490024,6.627880275998773e-13,1.058542296270786e-05,5.542961606456104e-08
11,259.0773198345907,0.005174396564429783,-1.6206531914067823e-10,0.8130366193001466,259.07730675074276,0.005174396727696521,0.8130366210453823,4.095728985873757e-13,7.628832861076921e-06,3.734699501889543e-08
12,224.54156125608836,0.0032797658071960496,-1.492129396090112e-10,0.6085279499628923,224.54154842340262,0.003279765958073481,0.6085279520096324,2.625210221341262e-13,5.636890970188209e-06,2.420072674923356e-08
13,197.47546141864376,0.0018824445952157303,-1.355970763309569e-10,0.44000260451626616,197.47544885363556,0.0018824447330569607,0.4400026068834491,1.7374659704346393e-13,4.261412383072424e-06,1.5085636560714784e-08
14,175.55846279080276,0.0009819225157438052,-1.2128594132164712e-10,0.30677599117104676,175.55845050899578,0.0009819226399855497,0.306775993876222,1.1818829198301524e-13,3.2831227139584424e-06,9.01984273009132e-09
15,157.36436420491188,0.000471265957697701,-1.0635093076113335e-10,0.20604670012420695,157.3643522207873,0.0004712660678634537,0.2060467031834635,8.234058630732915e-14,2.569758798627639e-06,5.1598439984460795e-09
16,141.87830989262187,0.0002160134951667041,-9.08662066936183e-11,0.13325853633205906,141.8782982195723,0.0002160135908692718,0.1332585397599605,5.855373383220136e-14,2.036729487254274e-06,2.827057035292264e-09
17,128.63463104445484,0.00010454422657725771,-7.490826933987157e-11,0.08255599881812065,128.63461969474378,0.00010454430752063573,0.08255600262764823,4.239854976060439e-14,1.63245087594354e-06,1.4855644505388668e-09
18,117.29766900458648,6.323672756061789e-05,-5.855551509474079e-11,0.04886799861128485,117.29765798931327,6.323679354119986e-05,0.0488680028137882,3.120129178534729e-14,1.3223905432318021e-06,7.679009152015697e-10
19,107.51718253861667,5.3694199563369036e-05,-4.188778651353386e-11,0.027289064359283712,107.51717186768698,5.3694250470482826e-05,0.027289068964439243,2.3298960740167917e-14,1.0815645195552287e-06,4.0615104513874987e-10
20,98.96850501905358,5.4021256597956347e-05,-2.4985913371110102e-11,0.013859151784146283,98.96849470115572,5.4021292413727336e-05,0.013859156799923915,1.762954601551905e-14,8.922580263927966e-07,2.3071708908366182e-10
21,91.46089246769827,5.6172113104255125e-05,-7.931256301620746e-12,0.005750525410099564,91.46088251028536,5.6172133902795295e-05,0.0057505308427374825,1.3502233470044363e-14,7.419589200185655e-07,1.4649825828373202e-10
22,84.83574392743533,5.692636211725077e-05,9.194756845515224e-12,0.0008938967425886677,84.83573433671332,5.6926368063189475e-05,0.0008939025965764113,1.0456779888811729e-14,6.215613229407396e-07,9.983187211200664e-11
23,78.95128577532289,5.594636959331954e-05,2.6311087975234492e-11,-0.002060665474103998,78.9512765562445,5.594636093968613e-05,-0.0020606591960342035,8.181367273331479e-15,5.242503048277942e-07,6.72748065435851e-11
24,73.69900171923983,5.378793268665055e-05,4.3337541909494284e-11,-0.004009276051770303,73.69899287550423,5.3787909772129626e-05,-0.004009269348643947,6.4612738858143e-15,4.449333798970937e-07,3.7922810795048694e-11
