a,z,n_a,E_tip,rho_de_eff_over_rhoc0,w_eff_ppf
1e-05,99998.99999999999,1.0397009560371782e-53,209584390.47192073,3.464161672948654e+16,0.33031792140620087
1.0233402121916423e-05,97718.21283717996,1.3588796297496844e-53,200154199.06639647,3.1594369713585172e+16,0.33024738463431436
1.0472251898884354e-05,95489.44557518078,1.7760432338032897e-53,191148783.12212008,2.8815314219023396e+16,0.33017604028388337
1.0716676480328643e-05,93311.5117507824,2.321272244635455e-53,182548998.2016871,2.628083698975008e+16,0.33010306265267286
1.0966805983368674e-05,91183.25196146581,3.033881569524669e-53,174336562.9446621,2.396940445981104e+16,0.33002841510456915
1.1222773562085072e-05,89103.53324821522,3.965255432305926e-53,166494020.152395,2.186137954652884e+16,0.32995206021666945
1.148471547840289e-05,87071.24849239922,5.182552543043077e-53,159004699.62761465,1.9938854585813652e+16,0.3298739597644651
1.1752771174629452e-05,85085.31582640581,6.773548720865896e-53,151852682.68965596,1.8185498987148572e+16,0.3297940747061905
1.202708334768512e-05,83144.67805772065,8.852966157677134e-53,145022768.28977096,1.6586420311159596e+16,0.3297123651670215
1.2307798025066658e-05,81248.30210614047,1.1570745707865468e-52,138500440.65436494,1.5128037586987396e+16,0.32962879042383975
1.2595064642583589e-05,79395.17845382277,1.5122858695216763e-52,132271838.38725948,1.3797965790915856e+16,0.32954330888810546
1.2889036123908916e-05,77584.32060787843,1.9765437845550692e-52,126323724.96518913,1.2584910502761488e+16,0.32945587809047083
1.3189868961986692e-05,75814.76457522118,2.5833246286292625e-52,120643460.56370333,1.1478571843199584e+16,0.32936645466406844
1.3497723302339418e-05,74085.56834939567,3.376381635980192e-52,115218975.15348797,1.0469556874238432e+16,0.32927499432730656
1.3812763028320094e-05,72395.81140910878,4.412899883137494e-52,110038742.80980937,9549299717117434.0,0.3291814518676499
1.4135155848353956e-05,70744.5942281988,5.767619741522952e-52,105091757.18038355,8709988707624848.0,0.32908578112414943
1.4465073385216472e-05,69131.03779678127,7.538226192241222e-52,100367508.05943091,7944499968753491.0,0.32898793497004886
