k_h_Mpc,P_delta_delta_z0,P_delta_delta_z0.5,P_delta_delta_z1,P_delta_delta_z2,P_delta_delta_z3,P_delta_delta_z4
0.0001,515.2778959995364,313.5617214626687,198.09278816997934,94.54631414873677,54.160762120987506,34.86933031266315
0.00010462594806665536,538.2467494497481,327.5393630051369,206.92344955738744,98.76123517508188,56.575358427702916,36.42391702767744
0.00010946589008846461,562.2379590501562,342.1392216715411,216.14724443532432,103.1638290543707,59.09747971597213,38.04773895391057
0.00011452972531465902,587.2968367300235,357.3888855260509,225.7815901084166,107.76241153213856,61.731895276320635,39.74387006396526
0.00011982781092859816,613.4706712097515,373.3171519180936,235.84468628669708,112.56567686421239,64.48358656181688,41.51551542116377
0.00012537098323156507,640.8088136353454,389.9540673303726,246.3555299352021,117.58270102445208,67.35775325723525,43.3660212313622
0.00013117057980651246,669.3627364530613,407.33094071156006,257.33393393663346,122.82294942488477,70.35981872747344,45.29888323109923
0.00013723846270709245,699.1861488650782,425.48044331458675,268.8005719225471,128.29629932483812,73.49544351237337,47.31775096293674
0.0001435870427193987,730.3350731998715,444.43671575015,280.77700021728316,134.0130516359494,76.77053773022938,49.42643110219745
0.00015022930474604428,762.8679577460002,464.23540100925135,293.2857081124688,139.98395397056802,80.19127036418146,51.62889565527608
0.0001571788343644937,796.8457635266898,484.9136199816215,306.35017820917955,146.22022401307416,83.76407163781097,53.92928644742536
0.00016444984561396941,832.3320762486165,506.51005453713736,319.9949234816199,152.73356881441228,87.49564640914845,56.3319234687199
0.00017205721006776655,869.3931880769227,529.065077161404,334.2454759366018,159.53619231947346,91.39299129634563,58.84131678582492
0.0001800164872504375,908.0982022877895,552.6208261299357,349.1284202334651,166.64081388221464,95.46340719764498,61.46217504849818
0.00018834395646206,948.5191563639117,577.2212033322262,364.67149165012955,174.06069726878354,99.7145069871636,64.19940651495385
0.00019705665007467883,990.7311124460883,602.9118923214097,380.9036360503456,181.80967004191672,104.15422419935963,67.05812224790112
0.00020617238836902421,1034.812298594258,629.7405157593753,397.85502045605773,189.90215009572893,108.79083077239312,70.0436517754229
0.00021570981598275827,1080.8441674461653,657.7567284146608,415.5570252059684,198.35316401394905,113.63294645248723,73.16155166385651
0.00022568844004479846,1128.9115945219332,687.0122788888722,434.04234641813633,207.17837297483032,118.6895554755241,76.41761481062764
0.00023612867007371545,1179.103008617735,717.5610097510171,453.34505986778174,216.39407299869043,123.97000894192735,79.81787333808705
0.00024705185972180945,1231.5105131626142,749.4589843675922,473.5006690473934,226.0172350275945,129.48404777443824,83.36861232337696
0.00025848035045024657,1286.2296748321044,782.7645156606085,494.5460720311565,236.0655164233919,135.24181785102806,87.0763774639418
0.00027043751722458375,1343.3597681486376,817.5382766340485,516.5196410735686,246.55729483085577,141.25388693194284,90.94798647278382
0.00028294781632414514,1403.0042551562801,853.8433692515301,539.4613005773083,257.51169738654016,147.53124431619642,94.99052917788656
0.00029603683536303543,1465.2709640969792,891.7454043773931,563.4125812791468,268.9486273532191,154.08531397231764,99.21137599497744
0.0003097313456250994,1530.271877841857,931.3125438018947,588.4166453552202,280.88877334919937,160.927977758747,103.61819563923285
0.0003240593568198693,1598.1230562943538,972.6154959185195,614.5182937429361,293.35361145514696,168.07158372888202,108.21896251020216
0.0003390501743714938,1668.945030147989,1015.727744447087,641.7640793704816,306.3654564985854,175.52896612551095,113.02196785161988
0.0003547344593578235,1742.8627708858673,1060.7256201231182,670.2023124645274,319.94745154755356,183.31343775530422,118.03581643382064
0.000371144291222247,1820.0059923016058,1107.6883718333065,699.8831441748986,334.12362805430513,191.43882507641277,123.26944581275988
0.0003883132333865442,1900.5090553078362,1156.6979601685337,730.8584559808934,348.9188885846605,199.9194555269233,128.73210827631212
0.0004062764018989559,1984.511290926463,1207.8393163559654,763.1820243837147,364.35906325015844,208.77019305567921,134.43340142032565
0.0004250705372578776,2072.1570769658238,1261.200272468426,796.9095431850145,380.4708726320473,218.0064248284446,140.3832784064521
0.00044473407955807987,2163.5960120893533,1316.8717265738403,832.0987030145596,397.2819777596743,227.64408836944742,146.5920611233156
0.00046530724711315436,2258.9823997555873,1374.9477792067028,868.8090921350293,414.82096531902323,237.69965362666755,153.07041247347323
0.0004868321187149924,2358.475279850926,1435.5258052633753,907.1022198570479,433.11736165701944,248.19013043164335,159.82934026674965
0.0005093527196985459,2462.2391680212854,1498.7062628465053,947.0415859431722,452.20167221861476,259.1330887878664,166.88021768675983
0.0005329151119878973,2570.4441904159103,1564.592481464926,988.6926068780574,472.1053595228909,270.5466399835502,174.234771795041
0.0005575674883078156,2683.265860812821,1633.291068747638,1032.1227951909539,492.86085406367744,282.44947005485824,181.90510153734513
